역명,주소,위도,경도
역촌역,서울특별시 은평구 서오릉로 지하63(녹번동),37.60494,126.92191
불광역,서울특별시 은평구 통일로 지하723-1(대조동),37.610612,126.9295777
독바위역,서울특별시 은평구 불광로 지하129-1(불광동),37.6183984,126.9328427
연신내역,서울특별시 은평구 통일로 지하849(갈현동),37.6172705,126.9225185
구산역,서울특별시 은평구 연서로 지하137-1(구산동),37.6113525,126.9172596
새절역,서울특별시 은평구 증산로 지하400(신사동),37.5910963,126.9134124
증산역,서울특별시 은평구 증산로 지하306(증산동),40.2236674,128.605758
디지털미디어시티역,서울특별시 은평구 수색로 지하175(증산동),37.5776729,126.9000771
월드컵경기장역,서울특별시 마포구 월드컵로 지하240(성산동),37.5697083,126.8990186
마포구청역,서울특별시 마포구 월드컵로 지하190(성산동),37.56222,126.9022
망원역,서울특별시 마포구 월드컵로 지하77(망원동),37.555999,126.9102593
합정역,서울특별시 마포구 양화로 지하45(합정동),37.5488204,126.9146013
상수역,서울특별시 마포구 독막로 지하85(상수동),37.54785,126.92153
광흥창역,서울특별시 마포구 독막로 지하165(창전동),37.5474803,126.9313073
대흥역,서울특별시 마포구 대흥로 지하85(대흥동),37.5478974,126.941951
공덕역,서울특별시 마포구 백범로 지하200(공덕동),37.54449,126.95132
효창공원앞역,서울특별시 용산구 백범로 지하287(효창동),37.5393102,126.9614159
삼각지역,서울특별시 용산구 한강대로 지하185(한강로1가),37.5355067,126.9741107
녹사평역,서울특별시 용산구 녹사평대로 지하195(용산동4가),37.5341054,126.9880853
이태원역,서울특별시 용산구 이태원로 지하177(이태원동),37.5345026,126.9943705
한강진역,서울특별시 용산구 이태원로 지하287(한남동),37.5402148,127.0019247
버티고개역,서울특별시 중구 다산로 지하38(신당동),37.548358,127.007159
약수역,서울특별시 중구 다산로 지하115(신당동),38.6590439,127.2790687
청구역,서울특별시 중구 청구로 지하77(신당동),37.5602449,127.0137974
신당역,서울특별시 중구 다산로 지하260(흥인동),37.5657732,127.0205833
